record_type,order,sector,industry,2026-07_sell,2026-07_buy,2026-06_sell,2026-06_buy,2026-05_sell,2026-05_buy,2026-04_sell,2026-04_buy,2026-03_sell,2026-03_buy,2026-02_sell,2026-02_buy,2026-01_sell,2026-01_buy,2025-12_sell,2025-12_buy,2025-11_sell,2025-11_buy,2025-10_sell,2025-10_buy,2025-09_sell,2025-09_buy,2025-08_sell,2025-08_buy,2025-07_sell,2025-07_buy,2025-06_sell,2025-06_buy,2025-05_sell,2025-05_buy,2025-04_sell,2025-04_buy,2025-03_sell,2025-03_buy,2025-02_sell,2025-02_buy,2025-01_sell,2025-01_buy,2024-12_sell,2024-12_buy,2024-11_sell,2024-11_buy,2024-10_sell,2024-10_buy,2024-09_sell,2024-09_buy,2024-08_sell,2024-08_buy,2024-07_sell,2024-07_buy,2024-06_sell,2024-06_buy,2024-05_sell,2024-05_buy,2024-04_sell,2024-04_buy,2024-03_sell,2024-03_buy,2024-02_sell,2024-02_buy,2024-01_sell,2024-01_buy,2023-12_sell,2023-12_buy,2023-11_sell,2023-11_buy,2023-10_sell,2023-10_buy,2023-09_sell,2023-09_buy,2023-08_sell,2023-08_buy,2023-07_sell,2023-07_buy,2023-06_sell,2023-06_buy,2023-05_sell,2023-05_buy,2023-04_sell,2023-04_buy,2023-03_sell,2023-03_buy,2023-02_sell,2023-02_buy,2023-01_sell,2023-01_buy,2022-12_sell,2022-12_buy,2022-11_sell,2022-11_buy,2022-10_sell,2022-10_buy,2022-09_sell,2022-09_buy,2022-08_sell,2022-08_buy
industry,35,산업,금속 주조업,0,0,153,561,0,0,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6059,2732,2202,0,3981,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7301,15625,2512,0,3000,0,5500,0,0,7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11624,10153,0,3000,2138,7000,0,0,0,0,0,0,0,11424,0,0,21000,0,0,0,0,0,0,0,0,0
industry,36,산업,"구조용 금속제품, 탱크 및 증기발생기 제조업",0,0,0,0,0,0,2419,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4000,0,14100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,37,산업,기타 금속 가공제품 제조업,4303,0,0,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,13729,2636,11223,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,12517,3513,0,0,21634,0,0,0,0,0,0,10000,0,2000,2731,3000,0,1,0,7000,0,0,0,8880,20331,0,884,0,0,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,38,산업,반도체 제조업,491653,0,184869,31480,10000,229931,10000,30071,0,18650,0,0,0,0,0,621,0,18195,0,0,0,0,564024,18501,220670,53522,15261,125983,0,0,0,12000,0,16047,64032,0,0,0,0,6573,0,10000,0,10000,0,10000,33550,285322,170955,25433,96100,15913,0,0,0,0,65000,5000,21344,0,0,0,30000,5000,0,38770,0,5000,0,0,17860,51369,5592,227051,9198,22237,37000,52550,0,0,0,0,0,18191,0,0,30000,23902,0,14301,0,10000,0,0,40616,2910
industry,39,산업,전자 부품 제조업,2783,43288,13537,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22906,35160,255148,4477,82671,422,20000,0,0,0,15000,0,0,0,10000,0,105001,0,0,0,0,0,0,0,48720,0,0,7312,253961,10463,102528,0,252803,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,22983,2625,4590,2625,87818,611,2000,0,48000,5448,20324,0,13000,0,10100,0,14200,0,0,0,0,0,0,0,0,0
industry,40,산업,사진장비 및 광학 기기 제조업,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,6000,0,5000,0,5000,0,0,0,0,0,208,0,12000,0,22893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,79000,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36380,0,43620,0,0,0,0,0,0,0,0,0
industry,41,산업,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11600,0,0,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,60,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,42,산업,일차전지 및 축전지 제조업,49771,1870,471,1010,3290,0,3290,0,3290,75900,3290,0,0,0,250000,0,0,0,0,0,200000,0,14422,3443,16325,2646,10700,0,14649,0,2500,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,14337,0,41350,6789,21071,0,2000,0,1500,0,1500,0,3600,0,3500,0,5590,0,3500,0,0,8789,0,700,16053,22900,10368,0,15977,0,2000,0,5209,0,0,0,10754,0,0,0,0,0,0,0,0,0,0,0,134,0
industry,43,산업,절연선 및 케이블 제조업,4973,4156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,11602,4525,0,5864,0,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12610,5059,0,4468,0,5463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,211,0,0,5976,0,0,0,0,10655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,44,산업,일반 목적용 기계 제조업,9462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,4707,15826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549,0,0,13589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
